 For beta=   0.500000000000000       Condensate=  -4.326706548596349E-009
           1           1  0.000000000000000E+000  0.000000000000000E+000
           1           2   1.50252852982962       0.176822727084055     
           1           3   4.44500795040056       0.647872542091836     
           1           4   16.6343626933478        1.22100616654753     
           1           5   55.3761386525595        1.74332266935193     
           1           6   170.833587244582        2.23257326050377     
           1           7   507.532024547842        2.70546345081306     
           1           8   1464.91438037880        3.16581224229036     
           1           9   4139.42030813912        3.61693952599921     
           1          10   11521.9625525787        4.06152645939642     
           1          11   31855.0308153869        4.50317802953880     
           1          12   87701.0483757947        4.94300478494074     
           1          13   233615.113267630        5.36850093517161     
           1          14   579095.517578964        5.76275020334081     
           1          15   1522291.81857893        6.18249791330867     
           1          16   8285837.53660112        6.91833641367753     
           1          17   18928272.6578780        7.27711098325168     
           1          18   51178843.1042137        7.70909046445201     
           1          19   9876333.52155664        6.99459574753429     
           1          20   25666719.5938782        7.40937036601018     
           1          21   11415812.4037246        7.05750682339525     
           1          22   9110337.13047907        6.95953444845463     
           1          23   107392895.323989        8.03097555116197     
           1          24   14861819.7933723        7.17207199097443     
           1          25   55246193.4715088        7.74230235998122     
           1          26   12397525.5865013        7.09333501327812     
           1          27   10958230.5337492        7.03974043266394     
           1          28   177379383.486801        8.24890314109756     
           1          29   18965289.2596837        7.27795947097377     
           1          30   168591758.767895        8.22683634129048     
           1          31   13312895.9034364        7.12427253617220     
           1          32   12963803.2490680        7.11273243114662     
           1          33   452197041.291408        8.65532771644583     
           1          34   23775523.3008987        7.37613008456598     
           1          35   285904516.681938        8.45622101633927     
           1          36   14079246.3798794        7.14857940893825     
           1          37   15121212.9469340        7.17958662946096     
           1          38   1791729372.21931        9.25327241323484     
           1          39   29759010.7825197        7.47361849075713     
           1          40   90637923.0173114        7.95730994504096     
           1          41   14778937.2346858        7.16964320471466     
           1          42   17488229.4061527        7.24274584160773     
           1          43   370150026.688184        8.56837778503128     
           1          44   37680948.4063200        7.57612182518368     
           1          45   58217661.5430578        7.76505475693683     
           1          46   15463971.9488286        7.18932105322433     
           1          47   20131613.7961597        7.30387859032208     
           1          48   233358960.566807        8.36802448167287     
           1          49   48999950.4451342        7.69019564081595     
           1          50   44941188.1789710        7.65264455034277     
           1          51   16168526.4658786        7.20867044186694     
           2           1   1.50252852982962       0.176822727084055     
           2           2  0.000000000000000E+000  0.000000000000000E+000
           2           3   1.50252852982962       0.176822727084055     
           2           4   4.44500795040056       0.647872542091836     
           2           5   16.6343626933478        1.22100616654753     
