CC 	 ASP 	 Eff 	 Sigma 	 W 
2.3879820650869518e-05 	0.39303278921532364 	2.544316981787869 	6.075783320405596e-05 	0
0.0382552771036612 	0.38428340311756887 	2.602246133679775 	0.09954964693585079 	0.1
0.0985330464329761 	0.3614883751704649 	2.7663406866913385 	0.2725759753311886 	0.2
0.12999666856530803 	0.3345412052172928 	2.9891684025902734 	0.38858193411741904 	0.3
0.12061552813673361 	0.30272429838761844 	3.3033357590594403 	0.3984335871919122 	0.4
0.0958330499180233 	0.27941341474249687 	3.578926233450834 	0.3429794163832169 	0.5
0.06848163316516921 	0.25908366746262246 	3.859757003572092 	0.2643224632253167 	0.6
0.044042199314668656 	0.23318637443373333 	4.2884152319293385 	0.18887123838869294 	0.7
0.023686166266251956 	0.19569167709883273 	5.110079359660028 	0.12103818934664974 	0.8
0.013225795638573876 	0.17717716243738085 	5.644068266153809 	0.07464729345831027 	0.9
0.006884142308182053 	0.15862682743486636 	6.304103890690301 	0.04339834830907619 	1.0
0.00353246918400746 	0.1377514434959659 	7.259452058150558 	0.025643790688196378 	1.1
0.0014460443555320258 	0.1074182923013198 	9.309401393152788 	0.013461807337950566 	1.2
0.001174157808268781 	0.13521064916446462 	7.395867161200014 	0.008683915176241659 	1.25892543792725
0.0007267792883859497 	0.11615078953151776 	8.609498084631166 	0.0062572048913084365 	1.3
0.00029969375550550827 	0.10256978127295863 	9.749460197626831 	0.0029218523407782597 	1.4
0.00011106453352193093 	0.09050545500216325 	11.04905776095041 	0.001227158446076828 	1.5
5.7001434250439364e-05 	0.09705465488067411 	10.30347283424449 	0.0005873127293123753 	1.58489322662354
